DATE,PERIOD,CATEGORY,ACTIVE_USERS,NUMBER_OF_SWAPS,TXN_PER_USER,VOLUME_USD
2024-05-05 00:00:00.000,0.25% fee,Whale,124,890,7.177419,118428013.56
2024-05-06 00:00:00.000,0.25% fee,Retail User,170048,867755,5.103,1554916501.64
2024-05-06 00:00:00.000,0.25% fee,Whale,179,1194,6.670391,198671090.41
2024-05-07 00:00:00.000,0.25% fee,Retail User,166566,800025,4.803051,1433531273.87
2024-05-07 00:00:00.000,0.25% fee,Whale,146,1099,7.527397,224977002.29
2024-05-08 00:00:00.000,0.25% fee,Retail User,160411,808362,5.039318,1461706849.1
2024-05-08 00:00:00.000,0.25% fee,Whale,152,1009,6.638158,236044806.02
2024-05-09 00:00:00.000,0.25% fee,Retail User,164315,766253,4.663317,1142633301.46
2024-05-09 00:00:00.000,0.25% fee,Whale,142,819,5.767606,155126188.6
2024-05-10 00:00:00.000,0.25% fee,Retail User,160643,736531,4.584893,1258221003.81
2024-05-10 00:00:00.000,0.25% fee,Whale,151,781,5.172185,153054146.8
2024-05-11 00:00:00.000,0.25% fee,Retail User,140704,655907,4.661609,712931008.48
2024-05-11 00:00:00.000,0.25% fee,Whale,109,400,3.669725,78936366.76
2024-05-12 00:00:00.000,0.25% fee,Retail User,138830,558894,4.025744,582220080.54
2024-05-12 00:00:00.000,0.25% fee,Whale,94,282,3,43345799.43
2024-05-13 00:00:00.000,0.25% fee,Retail User,156161,741012,4.74518,1264274625.36
2024-05-13 00:00:00.000,0.25% fee,Whale,164,791,4.823171,169381005.27
2024-05-14 00:00:00.000,0.25% fee,Retail User,147531,711907,4.825474,1237579467.65
2024-05-14 00:00:00.000,0.25% fee,Whale,140,652,4.657143,111207337.28
2024-05-15 00:00:00.000,0.25% fee,Retail User,152407,747070,4.901809,1615383368.66
2024-05-15 00:00:00.000,0.25% fee,Whale,196,1020,5.204082,223872141.09
2024-05-16 00:00:00.000,0.25% fee,Retail User,154708,693474,4.48247,1265326037.11
2024-05-16 00:00:00.000,0.25% fee,Whale,182,902,4.956044,169957988.29
2024-05-17 00:00:00.000,0.25% fee,Retail User,151574,719601,4.747523,1421426922.11
2024-05-17 00:00:00.000,0.25% fee,Whale,190,1087,5.721053,240081088.42
2024-05-18 00:00:00.000,0.25% fee,Retail User,137036,592124,4.320938,1011915040.23
2024-05-18 00:00:00.000,0.25% fee,Whale,128,738,5.765625,112028974.34
2024-05-19 00:00:00.000,0.25% fee,Retail User,131298,579416,4.412984,943360312.18
