DATE,CHAIN,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-07-24 00:00:00.000,Ethereum,no fee,561169618.98,246228,61018,4815
2023-07-24 00:00:00.000,Optimism,no fee,13765065.29,49874,13804,274
2023-07-24 00:00:00.000,Polygon,no fee,38935378.11,61140,23171,971
2023-07-25 00:00:00.000,Arbitrum,no fee,94310171.28,56537,23838,545
2023-07-25 00:00:00.000,Avalanche,no fee,15142706.22,7528,2461,23
2023-07-25 00:00:00.000,BSC,no fee,2352316.77,19962,12160,199
2023-07-25 00:00:00.000,Ethereum,no fee,342672328.3,241601,58995,4925
2023-07-25 00:00:00.000,Optimism,no fee,6632086.24,52825,16959,266
2023-07-25 00:00:00.000,Polygon,no fee,26360736.26,53297,20891,1021
2023-07-26 00:00:00.000,Arbitrum,no fee,147542812.42,65264,24227,532
2023-07-26 00:00:00.000,Avalanche,no fee,7000025.62,4714,2393,30
2023-07-26 00:00:00.000,BSC,no fee,1952049.67,18617,11462,187
2023-07-26 00:00:00.000,Ethereum,no fee,579257039.62,220074,57482,5098
2023-07-26 00:00:00.000,Optimism,no fee,8486542.33,61191,18716,265
2023-07-26 00:00:00.000,Polygon,no fee,45779739.47,68451,23830,893
2023-07-27 00:00:00.000,Arbitrum,no fee,98286688.81,53163,22223,513
2023-07-27 00:00:00.000,Avalanche,no fee,1906321.87,3285,2140,29
2023-07-27 00:00:00.000,BSC,no fee,1467764.32,17358,11129,200
2023-07-27 00:00:00.000,Ethereum,no fee,450771211.91,234281,60678,4861
2023-07-27 00:00:00.000,Optimism,no fee,6312620.07,62235,14067,252
2023-07-27 00:00:00.000,Polygon,no fee,26750925.3,56140,23251,890
2023-07-28 00:00:00.000,Arbitrum,no fee,78132303.41,48662,22422,510
2023-07-28 00:00:00.000,Avalanche,no fee,1437230.96,2738,1730,27
2023-07-28 00:00:00.000,BSC,no fee,1162499.34,16600,10833,204
2023-07-28 00:00:00.000,Ethereum,no fee,342801708.47,234857,62641,4802
2023-07-28 00:00:00.000,Optimism,no fee,4537455.87,76490,17323,241
2023-07-28 00:00:00.000,Polygon,no fee,20821442.73,51943,24107,841
2023-07-29 00:00:00.000,Arbitrum,no fee,39113768.55,41803,21950,484
2023-07-29 00:00:00.000,Avalanche,no fee,1030875.72,2533,1749,28
2023-07-29 00:00:00.000,BSC,no fee,723033.34,15475,10253,200
2023-07-29 00:00:00.000,Ethereum,no fee,222357493.13,209843,59655,5200
2023-07-29 00:00:00.000,Optimism,no fee,3169077.29,76256,15232,242
2023-07-29 00:00:00.000,Polygon,no fee,13438316.16,45724,24059,839
2023-07-30 00:00:00.000,Arbitrum,no fee,87265175.09,55748,24740,501
2023-07-30 00:00:00.000,Avalanche,no fee,8245492.29,5314,2423,31
2023-07-30 00:00:00.000,BSC,no fee,1269672.73,17695,11126,204
2023-07-30 00:00:00.000,Ethereum,no fee,474552578.47,163250,54212,4970
2023-07-30 00:00:00.000,Optimism,no fee,12711347.42,76781,14797,238
2023-07-30 00:00:00.000,Polygon,no fee,24488741.86,54083,23464,914
2023-07-31 00:00:00.000,Arbitrum,no fee,111494032.17,61728,26525,528
2023-07-31 00:00:00.000,Avalanche,no fee,4024613.3,3845,2183,32
2023-07-31 00:00:00.000,BSC,no fee,1298962.51,18111,11958,187
2023-07-31 00:00:00.000,Base,no fee,"null",14,1,1
2023-07-31 00:00:00.000,Ethereum,no fee,573373898.39,173832,55652,4899
2023-07-31 00:00:00.000,Optimism,no fee,12169698.86,84111,16574,242
2023-07-31 00:00:00.000,Polygon,no fee,28986331.58,57615,23620,904
2023-08-01 00:00:00.000,Arbitrum,no fee,155044127.31,66416,23262,542
2023-08-01 00:00:00.000,Avalanche,no fee,3136312.75,3594,1646,27
2023-08-01 00:00:00.000,BSC,no fee,2833780.37,17076,10030,198
