DATE,DEX,NUMBER_OF_SWAPS,PCT_SHARE
2023-10-24 00:00:00.000,curve,5925.0,0.5199242884934832
2023-10-24 00:00:00.000,dackieswap,2337.0,0.20507393455008782
2023-10-24 00:00:00.000,dodo,9825.0,0.8621529340841304
2023-10-24 00:00:00.000,fraxswap,1323.0,0.11609448669651953
2023-10-24 00:00:00.000,gmx,3658.0,0.3209929193770737
2023-10-24 00:00:00.000,hashflow,4387.0,0.38496335082209465
2023-10-24 00:00:00.000,kyberswap,11906.0,1.044762629333909
2023-10-24 00:00:00.000,level-finance,257.0,0.02255199023507598
2023-10-24 00:00:00.000,maverick,5763.0,0.5057086370612562
2023-10-24 00:00:00.000,pancakeswap,507934.0,44.57168329985635
2023-10-24 00:00:00.000,pangolin,7572.0,0.6644500780544565
2023-10-24 00:00:00.000,quickswap,76786.0,6.738043277006009
2023-10-24 00:00:00.000,ramses-v2,6315.0,0.5541471530525479
2023-10-24 00:00:00.000,sparta,889.0,0.07801058100771419
2023-10-24 00:00:00.000,sushiswap,26305.0,2.308288339041532
2023-10-24 00:00:00.000,swapbased,1069.0,0.09380574926574405
2023-10-24 00:00:00.000,synthetix,48.0,0.004212044868807965
2023-10-24 00:00:00.000,trader joe,27617.0,2.423417565455616
2023-10-24 00:00:00.000,uniswap,343482.0,30.1408665755812
2023-10-24 00:00:00.000,velodrome,11203.0,0.9830737221928256
2023-10-24 00:00:00.000,voodoo,2.0,0.0001755018695336652
2023-10-24 00:00:00.000,woofi,15578.0,1.3669840617977183
2023-10-24 00:00:00.000,zyberswap,2813.0,0.24684337949910012
2023-10-25 00:00:00.000,aerodrome,3906.0,0.4047160925935712
2023-10-25 00:00:00.000,alienbase,1191.0,0.12340421563721027
2023-10-25 00:00:00.000,balancer,10755.0,1.1143680429707779
2023-10-25 00:00:00.000,baseswap,12019.0,1.2453360770307558
2023-10-25 00:00:00.000,beethoven-x,657.0,0.06807436580490943
2023-10-25 00:00:00.000,biswap,16354.0,1.6945025546019616
2023-10-25 00:00:00.000,camelot,11887.0,1.2316590354991757
2023-10-25 00:00:00.000,curve,4567.0,0.4732049142024679
2023-10-25 00:00:00.000,dackieswap,1678.0,0.17386420977266062
2023-10-25 00:00:00.000,dodo,5689.0,0.5894597672208977
2023-10-25 00:00:00.000,fraxswap,828.0,0.08579235142536532
2023-10-25 00:00:00.000,gmx,3511.0,0.36378858194982805
2023-10-25 00:00:00.000,hashflow,2492.0,0.25820596588407047
2023-10-25 00:00:00.000,kyberswap,7709.0,0.79875994823447
2023-10-25 00:00:00.000,level-finance,89.0,0.009221641638716803
2023-10-25 00:00:00.000,maverick,5413.0,0.5608623167457759
2023-10-25 00:00:00.000,pancakeswap,464454.0,48.123913996276116
2023-10-25 00:00:00.000,pangolin,4879.0,0.5055324669134751
2023-10-25 00:00:00.000,quickswap,64645.0,6.698123862189301
2023-10-25 00:00:00.000,ramses-v2,4205.0,0.43569666394161977
2023-10-25 00:00:00.000,sparta,808.0,0.08372007240542896
2023-10-25 00:00:00.000,sushiswap,21962.0,2.275569591792117
2023-10-25 00:00:00.000,swapbased,1242.0,0.12868852713804796
2023-10-25 00:00:00.000,synthetix,20.0,0.0020722790199363605
2023-10-25 00:00:00.000,trader joe,20368.0,2.1104089539031894
2023-10-25 00:00:00.000,uniswap,270875.0,28.06642897626308
2023-10-25 00:00:00.000,velodrome,8232.0,0.8529500446058059
2023-10-25 00:00:00.000,woofi,13017.0,1.3487428001255801
2023-10-25 00:00:00.000,zyberswap,1669.0,0.17293168421368926
2023-10-26 00:00:00.000,aerodrome,4394.0,0.44503683657202125
2023-10-26 00:00:00.000,alienbase,864.0,0.08750838115571832
2023-10-26 00:00:00.000,balancer,10968.0,1.1108702830045356
2023-10-26 00:00:00.000,baseswap,9504.0,0.9625921927129016
2023-10-26 00:00:00.000,beethoven-x,903.0,0.09145841224955284
2023-10-26 00:00:00.000,biswap,14650.0,1.483793731401937
2023-10-26 00:00:00.000,camelot,14889.0,1.5080003322077433
2023-10-26 00:00:00.000,curve,4129.0,0.41819688170365854
2023-10-26 00:00:00.000,dackieswap,1685.0,0.1706615998233627
2023-10-26 00:00:00.000,dodo,5817.0,0.5891623300727008
2023-10-26 00:00:00.000,fraxswap,1038.0,0.10513159680513383
2023-10-26 00:00:00.000,gmx,2922.0,0.29594848349190855
2023-10-26 00:00:00.000,hashflow,2194.0,0.22221456974033105
2023-10-26 00:00:00.000,kyberswap,10114.0,1.0243747303344157
2023-10-26 00:00:00.000,level-finance,73.0,0.0073936479448697195
2023-10-26 00:00:00.000,maverick,4831.0,0.4892974413926797
2023-10-26 00:00:00.000,pancakeswap,446978.0,45.27120508358873
2023-10-26 00:00:00.000,pangolin,7007.0,0.7096889198589332
2023-10-26 00:00:00.000,quickswap,63988.0,6.480886913648269
2023-10-26 00:00:00.000,ramses-v2,6380.0,0.6461845738119015
2023-10-26 00:00:00.000,sparta,896.0,0.09074943230963382
2023-10-26 00:00:00.000,sushiswap,23344.0,2.3643468167813526
2023-10-26 00:00:00.000,swapbased,1156.0,0.1170829729351972
2023-10-26 00:00:00.000,synthetix,23.0,0.002329505516876761
2023-10-26 00:00:00.000,trader joe,27143.0,2.7491203584602575
2023-10-26 00:00:00.000,uniswap,293668.0,29.743531570876726
2023-10-26 00:00:00.000,velodrome,12175.0,1.2331186812162855
2023-10-26 00:00:00.000,voodoo,1.0,0.00010128284855985918
2023-10-26 00:00:00.000,woofi,13242.0,1.3411874806296553
2023-10-26 00:00:00.000,zyberswap,2358.0,0.23882495690414796
2023-10-27 00:00:00.000,aerodrome,3241.0,0.3605602088823968
2023-10-27 00:00:00.000,alienbase,700.0,0.07787477513658679
2023-10-27 00:00:00.000,balancer,8206.0,0.9129148639583303
2023-10-27 00:00:00.000,baseswap,9842.0,1.0949193384204103
2023-10-27 00:00:00.000,beethoven-x,386.0,0.04294237600388929
2023-10-27 00:00:00.000,biswap,16177.0,1.7996860534065209
2023-10-27 00:00:00.000,camelot,9691.0,1.078120636926661
2023-10-27 00:00:00.000,curve,2970.0,0.3304115459366611
2023-10-27 00:00:00.000,dackieswap,1401.0,0.15586079995194013
2023-10-27 00:00:00.000,dodo,4794.0,0.533330960006853
2023-10-27 00:00:00.000,fraxswap,538.0,0.059852327176405276
2023-10-27 00:00:00.000,gmx,2705.0,0.3009303810635247
2023-10-27 00:00:00.000,hashflow,2322.0,0.25832175409593505
2023-10-27 00:00:00.000,kyberswap,6057.0,0.6738393042890088
2023-10-27 00:00:00.000,level-finance,159.0,0.017688698923881856
2023-10-27 00:00:00.000,maverick,3883.0,0.43198250265052357
2023-10-27 00:00:00.000,pancakeswap,483808.0,53.823484584688266
2023-10-27 00:00:00.000,pangolin,3658.0,0.40695132492804925
2023-10-27 00:00:00.000,quickswap,47913.0,5.330305858741833
2023-10-27 00:00:00.000,ramses-v2,3929.0,0.437099987873785
2023-10-27 00:00:00.000,sparta,532.0,0.05918482910380596
2023-10-27 00:00:00.000,sushiswap,20150.0,2.241681027146034
2023-10-27 00:00:00.000,swapbased,1256.0,0.13972959653079003
2023-10-27 00:00:00.000,synthetix,10.0,0.0011124967876655256
2023-10-27 00:00:00.000,trader joe,17619.0,1.9601080901878893
2023-10-27 00:00:00.000,uniswap,227205.0,25.276483264154574
2023-10-27 00:00:00.000,velodrome,6913.0,0.7690690293131779
2023-10-27 00:00:00.000,voodoo,27.0,0.0030037413266969194
2023-10-27 00:00:00.000,woofi,11510.0,1.2804838026030199
2023-10-27 00:00:00.000,zyberswap,1277.0,0.14206583978488763
2023-10-28 00:00:00.000,aerodrome,2915.0,0.40672924111160563
2023-10-28 00:00:00.000,alienbase,779.0,0.10869368055778415
2023-10-28 00:00:00.000,balancer,5401.0,0.7536002165501826
2023-10-28 00:00:00.000,baseswap,13636.0,1.9026277639100704
2023-10-28 00:00:00.000,beethoven-x,362.0,0.05050977196651844
2023-10-28 00:00:00.000,biswap,8325.0,1.1615852254731105
2023-10-28 00:00:00.000,camelot,7322.0,1.0216368793890829
2023-10-28 00:00:00.000,curve,1937.0,0.2702691389479177
2023-10-28 00:00:00.000,dackieswap,1365.0,0.19045811805054605
2023-10-28 00:00:00.000,dodo,2603.0,0.36319595698576657
2023-10-28 00:00:00.000,fraxswap,348.0,0.04855635537112822
2023-10-28 00:00:00.000,gmx,1248.0,0.1741331365033564
2023-10-28 00:00:00.000,hashflow,1801.0,0.2512930920212699
2023-10-28 00:00:00.000,kyberswap,3779.0,0.5272829509985447
2023-10-28 00:00:00.000,level-finance,8.0,0.0011162380545086947
2023-10-28 00:00:00.000,maverick,4358.0,0.6080706801936114
2023-10-28 00:00:00.000,pancakeswap,403637.0,56.31937245096575
2023-10-28 00:00:00.000,pangolin,2487.0,0.3470105051953905
2023-10-28 00:00:00.000,quickswap,36181.0,5.048326131272385
2023-10-28 00:00:00.000,ramses-v2,2113.0,0.294826376147109
2023-10-28 00:00:00.000,sparta,463.0,0.06460227740469071
2023-10-28 00:00:00.000,sushiswap,18816.0,2.62539190420445
2023-10-28 00:00:00.000,swapbased,1349.0,0.18822564194152866
2023-10-28 00:00:00.000,synthetix,6.0,0.0008371785408815212
2023-10-28 00:00:00.000,trader joe,14023.0,1.9566257797969284
2023-10-28 00:00:00.000,uniswap,159977.0,22.321551905767183
2023-10-28 00:00:00.000,velodrome,11258.0,1.5708260022073608
2023-10-28 00:00:00.000,voodoo,117.0,0.01632498154718966
2023-10-28 00:00:00.000,woofi,9460.0,1.3199514994565316
2023-10-28 00:00:00.000,zyberswap,619.0,0.08636891946761026
2023-10-29 00:00:00.000,aerodrome,4214.0,0.5486321951016284
2023-10-29 00:00:00.000,alienbase,680.0,0.0885310613832718
2023-10-29 00:00:00.000,balancer,6289.0,0.8187821250579357
2023-10-29 00:00:00.000,baseswap,13594.0,1.769840071241466
2023-10-29 00:00:00.000,beethoven-x,327.0,0.042573025106367464
2023-10-29 00:00:00.000,biswap,7773.0,1.0119881472531935
2023-10-29 00:00:00.000,camelot,8529.0,1.1104138566734194
2023-10-29 00:00:00.000,curve,2283.0,0.2972300193206022
2023-10-29 00:00:00.000,dackieswap,1324.0,0.17237518422272333
2023-10-29 00:00:00.000,dodo,3307.0,0.4305473823448233
2023-10-29 00:00:00.000,fraxswap,289.0,0.03762570108789052
2023-10-29 00:00:00.000,gmx,1086.0,0.1413893127385782
2023-10-29 00:00:00.000,hashflow,1838.0,0.23929425120949055
2023-10-29 00:00:00.000,kyberswap,4268.0,0.5556626029173588
2023-10-29 00:00:00.000,level-finance,10.0,0.0013019273732834088
2023-10-29 00:00:00.000,maverick,4842.0,0.6303932341438265
2023-10-29 00:00:00.000,pancakeswap,444220.0,57.83421777599559
2023-10-29 00:00:00.000,pangolin,2924.0,0.38068356394806874
2023-10-29 00:00:00.000,quickswap,44986.0,5.856850481452742
2023-10-29 00:00:00.000,ramses-v2,2722.0,0.35438463100774387
2023-10-29 00:00:00.000,sparta,495.0,0.06444540497752874
2023-10-29 00:00:00.000,sushiswap,17151.0,2.2329356379183745
2023-10-29 00:00:00.000,swapbased,1120.0,0.14581586580774178
2023-10-29 00:00:00.000,synthetix,17.0,0.0022132765345817948
2023-10-29 00:00:00.000,trader joe,15280.0,1.9893450263770485
2023-10-29 00:00:00.000,uniswap,155484.0,20.242887570759752
2023-10-29 00:00:00.000,velodrome,11805.0,1.536925264161064
2023-10-29 00:00:00.000,voodoo,66.0,0.008592720663670497
2023-10-29 00:00:00.000,woofi,10351.0,1.3476250240856564
2023-10-29 00:00:00.000,zyberswap,818.0,0.10649765913458284
2023-10-30 00:00:00.000,aerodrome,3140.0,0.37202469106548347
2023-10-30 00:00:00.000,alienbase,872.0,0.10331386325130625
2023-10-30 00:00:00.000,balancer,7387.0,0.8752058576116963
2023-10-30 00:00:00.000,baseswap,11253.0,1.3332464485859508
2023-10-30 00:00:00.000,beethoven-x,387.0,0.04585145077781596
2023-10-30 00:00:00.000,biswap,9802.0,1.1613331279693848
2023-10-30 00:00:00.000,camelot,15189.0,1.7995805836285441
2023-10-30 00:00:00.000,curve,3452.0,0.4089902017700793
2023-10-30 00:00:00.000,dackieswap,1355.0,0.16053931732284396
2023-10-30 00:00:00.000,dodo,4459.0,0.5282987571531818
2023-10-30 00:00:00.000,fraxswap,584.0,0.06919185337014087
2023-10-30 00:00:00.000,gmx,1537.0,0.18210253190052486
2023-10-30 00:00:00.000,hashflow,1847.0,0.21883108420316816
2023-10-30 00:00:00.000,kyberswap,5827.0,0.6903783040887173
2023-10-30 00:00:00.000,level-finance,18.0,0.0021326256175728353
2023-10-30 00:00:00.000,maverick,4768.0,0.5649088302548488
2023-10-30 00:00:00.000,pancakeswap,464945.0,55.08631209791122
2023-10-30 00:00:00.000,pangolin,2771.0,0.32830586590524036
2023-10-30 00:00:00.000,quickswap,50169.0,5.94398303377842
2023-10-30 00:00:00.000,ramses-v2,3944.0,0.4672819686504034
2023-10-30 00:00:00.000,sparta,574.0,0.0680070613603782
2023-10-30 00:00:00.000,sushiswap,19699.0,2.3339217800315155
2023-10-30 00:00:00.000,swapbased,954.0,0.11302915773136026
