DATE,PLATFORM,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-08-22 00:00:00.000,uniswap-v3,no fee,933186836.01,239838,77144,3284
2023-08-23 00:00:00.000,uniswap-v2,no fee,69930712.13,177805,49651,3628
2023-08-23 00:00:00.000,uniswap-v3,no fee,804912888.99,234671,74284,3162
2023-08-24 00:00:00.000,uniswap-v2,no fee,95982499.91,178056,48262,3689
2023-08-24 00:00:00.000,uniswap-v3,no fee,532791354.49,196551,72300,3058
2023-08-25 00:00:00.000,uniswap-v2,no fee,115313049.86,208021,50542,3651
2023-08-25 00:00:00.000,uniswap-v3,no fee,601112567.48,196820,63717,3001
2023-08-26 00:00:00.000,uniswap-v2,no fee,82197758.9,166269,45642,3871
2023-08-26 00:00:00.000,uniswap-v3,no fee,214823925.72,135731,58367,2906
2023-08-27 00:00:00.000,uniswap-v2,no fee,62239944.81,153805,42115,3698
2023-08-27 00:00:00.000,uniswap-v3,no fee,253407731.57,142383,56800,2933
2023-08-28 00:00:00.000,uniswap-v2,no fee,125910885.1,221192,51865,3527
2023-08-28 00:00:00.000,uniswap-v3,no fee,544364278.3,177358,57873,2927
2023-08-29 00:00:00.000,uniswap-v2,no fee,110259834.09,198134,50920,3640
2023-08-29 00:00:00.000,uniswap-v3,no fee,1191459822.42,231744,62090,3212
2023-08-30 00:00:00.000,uniswap-v2,no fee,82522997.04,176406,48269,3638
2023-08-30 00:00:00.000,uniswap-v3,no fee,520790198.09,169974,62328,3075
2023-08-31 00:00:00.000,uniswap-v2,no fee,74055750.09,174884,48402,3852
2023-08-31 00:00:00.000,uniswap-v3,no fee,802192176.2,206822,63739,3245
2023-09-01 00:00:00.000,uniswap-v2,no fee,63976120.77,157526,45331,3942
2023-09-01 00:00:00.000,uniswap-v3,no fee,751113779.91,188866,59848,3294
2023-09-02 00:00:00.000,uniswap-v2,no fee,65415678.89,150562,41930,3863
2023-09-02 00:00:00.000,uniswap-v3,no fee,285995093.14,144869,54869,2885
2023-09-03 00:00:00.000,uniswap-v2,no fee,57725753.73,164521,41165,3834
2023-09-03 00:00:00.000,uniswap-v3,no fee,288254521.54,135737,51919,2854
2023-09-04 00:00:00.000,uniswap-v2,no fee,57188074.54,173760,45288,3798
2023-09-04 00:00:00.000,uniswap-v3,no fee,438829641.69,164995,54330,2927
2023-09-05 00:00:00.000,uniswap-v2,no fee,54357069,171586,45357,3917
2023-09-05 00:00:00.000,uniswap-v3,no fee,473164071.24,177039,59775,3059
2023-09-06 00:00:00.000,uniswap-v2,no fee,57769153.12,181788,48543,3896
2023-09-06 00:00:00.000,uniswap-v3,no fee,611000885.62,192357,58370,3029
2023-09-07 00:00:00.000,uniswap-v2,no fee,62491955.92,185443,47879,3723
2023-09-07 00:00:00.000,uniswap-v3,no fee,494237763.02,166307,55443,2903
2023-09-08 00:00:00.000,uniswap-v2,no fee,62676905.57,182751,45495,3853
2023-09-08 00:00:00.000,uniswap-v3,no fee,423113378.01,161944,56096,2971
2023-09-09 00:00:00.000,uniswap-v2,no fee,40524282.81,170799,40676,3844
2023-09-09 00:00:00.000,uniswap-v3,no fee,171550660.98,124221,49830,2831
2023-09-10 00:00:00.000,uniswap-v2,no fee,39680587.51,147549,37925,3872
2023-09-10 00:00:00.000,uniswap-v3,no fee,523647468.65,170607,50631,3146
2023-09-11 00:00:00.000,uniswap-v2,no fee,55561788.91,169825,44655,3992
2023-09-11 00:00:00.000,uniswap-v3,no fee,971531230.62,228835,55494,3175
2023-09-12 00:00:00.000,uniswap-v2,no fee,46861905.45,159133,41664,3896
2023-09-12 00:00:00.000,uniswap-v3,no fee,811590901.29,222288,53467,3120
2023-09-13 00:00:00.000,uniswap-v2,no fee,38859839,140749,37473,3455
2023-09-13 00:00:00.000,uniswap-v3,no fee,625926332.88,187186,51580,2935
2023-09-14 00:00:00.000,uniswap-v2,no fee,46156268.74,173309,44608,3732
2023-09-14 00:00:00.000,uniswap-v3,no fee,572299335.79,189281,57977,3038
2023-09-15 00:00:00.000,uniswap-v2,no fee,54854682.09,176047,44771,3831
2023-09-15 00:00:00.000,uniswap-v3,no fee,498368000.2,182501,56069,3051
2023-09-16 00:00:00.000,uniswap-v2,no fee,44671121.62,155732,38162,3955
2023-09-16 00:00:00.000,uniswap-v3,no fee,257013759.03,145199,49131,2923
2023-09-17 00:00:00.000,uniswap-v2,no fee,42038304.19,142607,34995,3976
2023-09-17 00:00:00.000,uniswap-v3,no fee,264949812.7,141325,47126,2904
2023-09-18 00:00:00.000,uniswap-v2,no fee,52164710.12,165221,43525,3819
2023-09-18 00:00:00.000,uniswap-v3,no fee,718891838.51,197291,52326,3082
2023-09-19 00:00:00.000,uniswap-v2,no fee,52111633.45,159648,45527,4103
2023-09-19 00:00:00.000,uniswap-v3,no fee,592927165.69,186190,54615,3116
2023-09-20 00:00:00.000,uniswap-v2,no fee,50480109.75,165256,44427,3877
2023-09-20 00:00:00.000,uniswap-v3,no fee,515760426.7,189031,54491,3046
2023-09-21 00:00:00.000,uniswap-v2,no fee,42367589.06,139999,39029,3914
2023-09-21 00:00:00.000,uniswap-v3,no fee,519705202.02,177771,52844,3194
2023-09-22 00:00:00.000,uniswap-v2,no fee,36958964.57,138895,38623,4035
2023-09-22 00:00:00.000,uniswap-v3,no fee,333736858.74,163504,55653,3040
2023-09-23 00:00:00.000,uniswap-v2,no fee,26511927.38,117255,33994,3866
2023-09-23 00:00:00.000,uniswap-v3,no fee,280911703.41,136651,52018,2949
2023-09-24 00:00:00.000,uniswap-v2,no fee,25547892.36,122940,33879,3983
2023-09-24 00:00:00.000,uniswap-v3,no fee,284055304.93,152656,53262,2903
2023-09-25 00:00:00.000,uniswap-v2,no fee,32481982.43,153321,38653,3779
2023-09-25 00:00:00.000,uniswap-v3,no fee,531719228.42,163683,53146,3081
2023-09-26 00:00:00.000,uniswap-v2,no fee,31002049.57,152387,38588,3680
2023-09-26 00:00:00.000,uniswap-v3,no fee,352119934.3,158152,53245,3061
2023-09-27 00:00:00.000,uniswap-v2,no fee,36455363.77,139813,37871,3799
2023-09-27 00:00:00.000,uniswap-v3,no fee,517003818.08,185784,55614,3251
2023-09-28 00:00:00.000,uniswap-v2,no fee,42433844.1,139303,38644,3948
2023-09-28 00:00:00.000,uniswap-v3,no fee,707206119.46,215167,57099,3215
2023-09-29 00:00:00.000,uniswap-v2,no fee,41203247.71,138026,38195,3926
2023-09-29 00:00:00.000,uniswap-v3,no fee,583646245.27,203054,59803,3305
2023-09-30 00:00:00.000,uniswap-v2,no fee,33739174.75,144089,35330,3907
2023-09-30 00:00:00.000,uniswap-v3,no fee,365160371.84,194310,85718,3142
2023-10-01 00:00:00.000,uniswap-v2,no fee,36128029.62,132040,36330,3972
2023-10-01 00:00:00.000,uniswap-v3,no fee,550887707.39,211362,57561,3431
2023-10-02 00:00:00.000,uniswap-v2,no fee,48628100.87,171441,41577,3957
2023-10-02 00:00:00.000,uniswap-v3,no fee,1024411708.37,242904,61147,3310
2023-10-03 00:00:00.000,uniswap-v2,no fee,34085725.61,156272,40812,4169
2023-10-03 00:00:00.000,uniswap-v3,no fee,513437279.53,213722,61887,3282
2023-10-04 00:00:00.000,uniswap-v2,no fee,39547300.09,137115,38953,4152
2023-10-04 00:00:00.000,uniswap-v3,no fee,570587907.24,230172,58163,3363
2023-10-05 00:00:00.000,uniswap-v2,no fee,38192784.37,130202,37419,4130
2023-10-05 00:00:00.000,uniswap-v3,no fee,519681781.34,192185,54699,3254
2023-10-06 00:00:00.000,uniswap-v2,no fee,38812395.03,138745,38538,4002
2023-10-06 00:00:00.000,uniswap-v3,no fee,566243024.53,188438,56209,3220
2023-10-07 00:00:00.000,uniswap-v2,no fee,33713001.82,133480,37486,3985
2023-10-07 00:00:00.000,uniswap-v3,no fee,245404411.52,162014,56439,3073
2023-10-08 00:00:00.000,uniswap-v2,no fee,37105121.02,130446,33987,4570
2023-10-08 00:00:00.000,uniswap-v3,no fee,449740046.16,157092,50466,3083
2023-10-09 00:00:00.000,uniswap-v2,no fee,57293139.25,146207,38380,3881
2023-10-09 00:00:00.000,uniswap-v3,no fee,640009709.73,204560,53868,3371
2023-10-10 00:00:00.000,uniswap-v2,no fee,43734004.04,141293,37475,3899
2023-10-10 00:00:00.000,uniswap-v3,no fee,470909973.74,177136,53486,3223
