DATE,CHAIN,PERIOD,NEW_USERS
2023-07-18 00:00:00.000,Arbitrum,no fee,6521
2023-07-18 00:00:00.000,Avalanche,no fee,387
2023-07-18 00:00:00.000,BSC,no fee,5501
2023-07-18 00:00:00.000,Ethereum,no fee,10009
2023-07-18 00:00:00.000,Optimism,no fee,5637
2023-07-18 00:00:00.000,Polygon,no fee,11171
2023-07-19 00:00:00.000,Arbitrum,no fee,8270
2023-07-19 00:00:00.000,Avalanche,no fee,659
2023-07-19 00:00:00.000,BSC,no fee,5264
2023-07-19 00:00:00.000,Ethereum,no fee,8508
2023-07-19 00:00:00.000,Optimism,no fee,7140
2023-07-19 00:00:00.000,Polygon,no fee,6803
2023-07-20 00:00:00.000,Arbitrum,no fee,7178
2023-07-20 00:00:00.000,Avalanche,no fee,1637
2023-07-20 00:00:00.000,BSC,no fee,5176
2023-07-20 00:00:00.000,Ethereum,no fee,8324
2023-07-20 00:00:00.000,Optimism,no fee,5947
2023-07-20 00:00:00.000,Polygon,no fee,6836
2023-07-21 00:00:00.000,Arbitrum,no fee,6604
2023-07-21 00:00:00.000,Avalanche,no fee,2174
2023-07-21 00:00:00.000,BSC,no fee,5237
2023-07-21 00:00:00.000,Ethereum,no fee,7410
2023-07-21 00:00:00.000,Optimism,no fee,5705
2023-07-21 00:00:00.000,Polygon,no fee,7138
2023-07-22 00:00:00.000,Arbitrum,no fee,6205
2023-07-22 00:00:00.000,Avalanche,no fee,2893
2023-07-22 00:00:00.000,BSC,no fee,5247
2023-07-22 00:00:00.000,Ethereum,no fee,7630
2023-07-22 00:00:00.000,Optimism,no fee,5420
2023-07-22 00:00:00.000,Polygon,no fee,7278
2023-07-23 00:00:00.000,Arbitrum,no fee,6847
2023-07-23 00:00:00.000,Avalanche,no fee,2233
2023-07-23 00:00:00.000,BSC,no fee,5543
2023-07-23 00:00:00.000,Ethereum,no fee,7191
2023-07-23 00:00:00.000,Optimism,no fee,5413
2023-07-23 00:00:00.000,Polygon,no fee,6191
2023-07-24 00:00:00.000,Arbitrum,no fee,6168
2023-07-24 00:00:00.000,Avalanche,no fee,2048
2023-07-24 00:00:00.000,BSC,no fee,5694
2023-07-24 00:00:00.000,Ethereum,no fee,7424
2023-07-24 00:00:00.000,Optimism,no fee,5781
2023-07-24 00:00:00.000,Polygon,no fee,5724
2023-07-25 00:00:00.000,Arbitrum,no fee,6396
2023-07-25 00:00:00.000,Avalanche,no fee,2095
2023-07-25 00:00:00.000,BSC,no fee,5499
2023-07-25 00:00:00.000,Ethereum,no fee,7724
2023-07-25 00:00:00.000,Optimism,no fee,6688
2023-07-25 00:00:00.000,Polygon,no fee,5389
2023-07-26 00:00:00.000,Arbitrum,no fee,5707
2023-07-26 00:00:00.000,Avalanche,no fee,2006
2023-07-26 00:00:00.000,BSC,no fee,5113
2023-07-26 00:00:00.000,Ethereum,no fee,7427
2023-07-26 00:00:00.000,Optimism,no fee,7751
2023-07-26 00:00:00.000,Polygon,no fee,5239
2023-07-27 00:00:00.000,Arbitrum,no fee,4629
2023-07-27 00:00:00.000,Avalanche,no fee,1851
2023-07-27 00:00:00.000,BSC,no fee,4940
2023-07-27 00:00:00.000,Ethereum,no fee,7855
2023-07-27 00:00:00.000,Optimism,no fee,5725
2023-07-27 00:00:00.000,Polygon,no fee,5391
2023-07-28 00:00:00.000,Arbitrum,no fee,5116
2023-07-28 00:00:00.000,Avalanche,no fee,1437
2023-07-28 00:00:00.000,BSC,no fee,4834
2023-07-28 00:00:00.000,Ethereum,no fee,8248
2023-07-28 00:00:00.000,Optimism,no fee,8045
2023-07-28 00:00:00.000,Polygon,no fee,6222
2023-07-29 00:00:00.000,Arbitrum,no fee,4574
2023-07-29 00:00:00.000,Avalanche,no fee,1391
2023-07-29 00:00:00.000,BSC,no fee,4411
2023-07-29 00:00:00.000,Ethereum,no fee,8349
2023-07-29 00:00:00.000,Optimism,no fee,6741
2023-07-29 00:00:00.000,Polygon,no fee,7755
2023-07-30 00:00:00.000,Arbitrum,no fee,5759
2023-07-30 00:00:00.000,Avalanche,no fee,2038
2023-07-30 00:00:00.000,BSC,no fee,4475
2023-07-30 00:00:00.000,Ethereum,no fee,6590
2023-07-30 00:00:00.000,Optimism,no fee,6177
2023-07-30 00:00:00.000,Polygon,no fee,7389
2023-07-31 00:00:00.000,Arbitrum,no fee,5764
2023-07-31 00:00:00.000,Avalanche,no fee,1798
2023-07-31 00:00:00.000,BSC,no fee,5476
2023-07-31 00:00:00.000,Base,no fee,1
2023-07-31 00:00:00.000,Ethereum,no fee,7297
2023-07-31 00:00:00.000,Optimism,no fee,7347
2023-07-31 00:00:00.000,Polygon,no fee,6917
2023-08-01 00:00:00.000,Arbitrum,no fee,5014
2023-08-01 00:00:00.000,Avalanche,no fee,1277
2023-08-01 00:00:00.000,BSC,no fee,4522
2023-08-01 00:00:00.000,Ethereum,no fee,7619
2023-08-01 00:00:00.000,Optimism,no fee,5189
2023-08-01 00:00:00.000,Polygon,no fee,5905
2023-08-02 00:00:00.000,Arbitrum,no fee,4862
2023-08-02 00:00:00.000,Avalanche,no fee,1434
2023-08-02 00:00:00.000,BSC,no fee,4632
2023-08-02 00:00:00.000,Base,no fee,1
2023-08-02 00:00:00.000,Ethereum,no fee,7818
2023-08-02 00:00:00.000,Optimism,no fee,4357
2023-08-02 00:00:00.000,Polygon,no fee,5235
2023-08-03 00:00:00.000,Arbitrum,no fee,5246
2023-08-03 00:00:00.000,Avalanche,no fee,1318
2023-08-03 00:00:00.000,BSC,no fee,7398
2023-08-03 00:00:00.000,Ethereum,no fee,7670
2023-08-03 00:00:00.000,Optimism,no fee,4751
2023-08-03 00:00:00.000,Polygon,no fee,6178
2023-08-04 00:00:00.000,Arbitrum,no fee,5155
2023-08-04 00:00:00.000,Avalanche,no fee,1259
2023-08-04 00:00:00.000,BSC,no fee,5985
2023-08-04 00:00:00.000,Base,no fee,10
2023-08-04 00:00:00.000,Ethereum,no fee,7192
2023-08-04 00:00:00.000,Optimism,no fee,4837
2023-08-04 00:00:00.000,Polygon,no fee,6182
2023-08-05 00:00:00.000,Arbitrum,no fee,4089
2023-08-05 00:00:00.000,Avalanche,no fee,1109
2023-08-05 00:00:00.000,BSC,no fee,5847
2023-08-05 00:00:00.000,Base,no fee,8
2023-08-05 00:00:00.000,Ethereum,no fee,7501
2023-08-05 00:00:00.000,Optimism,no fee,3987
2023-08-05 00:00:00.000,Polygon,no fee,5803
2023-08-06 00:00:00.000,Arbitrum,no fee,3935
2023-08-06 00:00:00.000,Avalanche,no fee,1279
2023-08-06 00:00:00.000,BSC,no fee,5175
2023-08-06 00:00:00.000,Base,no fee,1
2023-08-06 00:00:00.000,Ethereum,no fee,6662
2023-08-06 00:00:00.000,Optimism,no fee,3549
2023-08-06 00:00:00.000,Polygon,no fee,5780
2023-08-07 00:00:00.000,Arbitrum,no fee,4623
2023-08-07 00:00:00.000,Avalanche,no fee,1638
2023-08-07 00:00:00.000,BSC,no fee,5414
2023-08-07 00:00:00.000,Base,no fee,1821
2023-08-07 00:00:00.000,Ethereum,no fee,7346
2023-08-07 00:00:00.000,Optimism,no fee,5147
2023-08-07 00:00:00.000,Polygon,no fee,5196
2023-08-08 00:00:00.000,Arbitrum,no fee,4344
2023-08-08 00:00:00.000,Avalanche,no fee,1190
2023-08-08 00:00:00.000,BSC,no fee,5441
2023-08-08 00:00:00.000,Base,no fee,4511
2023-08-08 00:00:00.000,Ethereum,no fee,7052
2023-08-08 00:00:00.000,Optimism,no fee,4761
2023-08-08 00:00:00.000,Polygon,no fee,4751
2023-08-09 00:00:00.000,Arbitrum,no fee,4548
2023-08-09 00:00:00.000,Avalanche,no fee,1183
2023-08-09 00:00:00.000,BSC,no fee,5899
2023-08-09 00:00:00.000,Base,no fee,4418
2023-08-09 00:00:00.000,Ethereum,no fee,7687
2023-08-09 00:00:00.000,Optimism,no fee,4271
2023-08-09 00:00:00.000,Polygon,no fee,5002
2023-08-10 00:00:00.000,Arbitrum,no fee,4630
2023-08-10 00:00:00.000,Avalanche,no fee,1419
2023-08-10 00:00:00.000,BSC,no fee,4353
2023-08-10 00:00:00.000,Base,no fee,2724
2023-08-10 00:00:00.000,Ethereum,no fee,7788
2023-08-10 00:00:00.000,Optimism,no fee,3869
2023-08-10 00:00:00.000,Polygon,no fee,4669
2023-08-11 00:00:00.000,Arbitrum,no fee,5588
2023-08-11 00:00:00.000,Avalanche,no fee,908
2023-08-11 00:00:00.000,BSC,no fee,4174
2023-08-11 00:00:00.000,Base,no fee,2384
2023-08-11 00:00:00.000,Ethereum,no fee,7398
2023-08-11 00:00:00.000,Optimism,no fee,4328
2023-08-11 00:00:00.000,Polygon,no fee,5648
2023-08-12 00:00:00.000,Arbitrum,no fee,4788
2023-08-12 00:00:00.000,Avalanche,no fee,1130
2023-08-12 00:00:00.000,BSC,no fee,4196
2023-08-12 00:00:00.000,Base,no fee,1831
2023-08-12 00:00:00.000,Ethereum,no fee,7773
2023-08-12 00:00:00.000,Optimism,no fee,4018
2023-08-12 00:00:00.000,Polygon,no fee,5424
2023-08-13 00:00:00.000,Arbitrum,no fee,4718
2023-08-13 00:00:00.000,Avalanche,no fee,1014
2023-08-13 00:00:00.000,BSC,no fee,3934
2023-08-13 00:00:00.000,Base,no fee,1641
2023-08-13 00:00:00.000,Ethereum,no fee,7217
2023-08-13 00:00:00.000,Optimism,no fee,3862
2023-08-13 00:00:00.000,Polygon,no fee,3877
2023-08-14 00:00:00.000,Arbitrum,no fee,3731
2023-08-14 00:00:00.000,Avalanche,no fee,1208
2023-08-14 00:00:00.000,BSC,no fee,4088
2023-08-14 00:00:00.000,Base,no fee,1501
2023-08-14 00:00:00.000,Ethereum,no fee,7576
2023-08-14 00:00:00.000,Optimism,no fee,3146
2023-08-14 00:00:00.000,Polygon,no fee,4472
2023-08-15 00:00:00.000,Arbitrum,no fee,3873
2023-08-15 00:00:00.000,Avalanche,no fee,1093
2023-08-15 00:00:00.000,BSC,no fee,4121
2023-08-15 00:00:00.000,Base,no fee,3146
2023-08-15 00:00:00.000,Ethereum,no fee,7749
2023-08-15 00:00:00.000,Optimism,no fee,4945
2023-08-15 00:00:00.000,Polygon,no fee,4567
2023-08-16 00:00:00.000,Arbitrum,no fee,3713
2023-08-16 00:00:00.000,Avalanche,no fee,1310
2023-08-16 00:00:00.000,BSC,no fee,4379
2023-08-16 00:00:00.000,Base,no fee,1308
2023-08-16 00:00:00.000,Ethereum,no fee,7810
2023-08-16 00:00:00.000,Optimism,no fee,3543
2023-08-16 00:00:00.000,Polygon,no fee,4016
2023-08-17 00:00:00.000,Arbitrum,no fee,3257
2023-08-17 00:00:00.000,Avalanche,no fee,1158
2023-08-17 00:00:00.000,BSC,no fee,3834
2023-08-17 00:00:00.000,Base,no fee,1280
2023-08-17 00:00:00.000,Ethereum,no fee,7955
2023-08-17 00:00:00.000,Optimism,no fee,2909
2023-08-17 00:00:00.000,Polygon,no fee,3353
2023-08-18 00:00:00.000,Arbitrum,no fee,7388
2023-08-18 00:00:00.000,Avalanche,no fee,1300
2023-08-18 00:00:00.000,BSC,no fee,3623
2023-08-18 00:00:00.000,Base,no fee,2400
2023-08-18 00:00:00.000,Ethereum,no fee,8329
2023-08-18 00:00:00.000,Optimism,no fee,2791
2023-08-18 00:00:00.000,Polygon,no fee,3322
2023-08-19 00:00:00.000,Arbitrum,no fee,9598
2023-08-19 00:00:00.000,Avalanche,no fee,1056
2023-08-19 00:00:00.000,BSC,no fee,3140
2023-08-19 00:00:00.000,Base,no fee,3089
2023-08-19 00:00:00.000,Ethereum,no fee,7349
2023-08-19 00:00:00.000,Optimism,no fee,2924
2023-08-19 00:00:00.000,Polygon,no fee,3596
2023-08-20 00:00:00.000,Arbitrum,no fee,2641
2023-08-20 00:00:00.000,Avalanche,no fee,1370
2023-08-20 00:00:00.000,BSC,no fee,3175
2023-08-20 00:00:00.000,Base,no fee,6112
2023-08-20 00:00:00.000,Ethereum,no fee,7092
2023-08-20 00:00:00.000,Optimism,no fee,2784
2023-08-20 00:00:00.000,Polygon,no fee,3394
2023-08-21 00:00:00.000,Arbitrum,no fee,3252
2023-08-21 00:00:00.000,Avalanche,no fee,1115
2023-08-21 00:00:00.000,BSC,no fee,3621
2023-08-21 00:00:00.000,Base,no fee,12281
2023-08-21 00:00:00.000,Ethereum,no fee,7552
2023-08-21 00:00:00.000,Optimism,no fee,3266
2023-08-21 00:00:00.000,Polygon,no fee,3858
2023-08-22 00:00:00.000,Arbitrum,no fee,3053
2023-08-22 00:00:00.000,Avalanche,no fee,1049
2023-08-22 00:00:00.000,BSC,no fee,3311
2023-08-22 00:00:00.000,Base,no fee,8598
2023-08-22 00:00:00.000,Ethereum,no fee,7682
2023-08-22 00:00:00.000,Optimism,no fee,5687
2023-08-22 00:00:00.000,Polygon,no fee,3590
2023-08-23 00:00:00.000,Arbitrum,no fee,3909
2023-08-23 00:00:00.000,Avalanche,no fee,1045
2023-08-23 00:00:00.000,BSC,no fee,3180
2023-08-23 00:00:00.000,Base,no fee,7570
2023-08-23 00:00:00.000,Ethereum,no fee,7529
2023-08-23 00:00:00.000,Optimism,no fee,3643
2023-08-23 00:00:00.000,Polygon,no fee,3694
2023-08-24 00:00:00.000,Arbitrum,no fee,4001
2023-08-24 00:00:00.000,Avalanche,no fee,1093
2023-08-24 00:00:00.000,BSC,no fee,2937
2023-08-24 00:00:00.000,Base,no fee,5390
2023-08-24 00:00:00.000,Ethereum,no fee,6924
2023-08-24 00:00:00.000,Optimism,no fee,3577
2023-08-24 00:00:00.000,Polygon,no fee,4343
2023-08-25 00:00:00.000,Arbitrum,no fee,2497
2023-08-25 00:00:00.000,Avalanche,no fee,905
2023-08-25 00:00:00.000,BSC,no fee,2687
2023-08-25 00:00:00.000,Base,no fee,3794
2023-08-25 00:00:00.000,Ethereum,no fee,7151
2023-08-25 00:00:00.000,Optimism,no fee,2352
2023-08-25 00:00:00.000,Polygon,no fee,4874
